provider,model,query_id,intent_exact,overall_exact,countries_exact,regions_exact,commodities_exact,material_types_exact,storage_facility_types_exact,project_status_exact,unfc_e_exact,unfc_f_exact,unfc_g_exact
openai,gpt-5.5,q001,False,False,False,False,False,False,False,False,False,False,False
openai,gpt-5.5,q002,False,False,False,False,False,False,False,False,False,False,False
openai,gpt-5.5,q003,False,False,False,False,False,False,False,False,False,False,False
openai,gpt-5.5,q004,False,False,False,False,False,False,False,False,False,False,False
openai,gpt-5.5,q005,False,False,False,False,False,False,False,False,False,False,False
gemini,gemini-2.5-pro,q001,False,False,False,False,False,False,False,False,False,False,False
gemini,gemini-2.5-pro,q002,False,False,False,False,False,False,False,False,False,False,False
gemini,gemini-2.5-pro,q003,False,False,False,False,False,False,False,False,False,False,False
gemini,gemini-2.5-pro,q004,False,False,False,False,False,False,False,False,False,False,False
gemini,gemini-2.5-pro,q005,False,False,False,False,False,False,False,False,False,False,False
anthropic,claude-opus-4-7,q001,False,False,False,False,False,False,False,False,False,False,False
anthropic,claude-opus-4-7,q002,False,False,False,False,False,False,False,False,False,False,False
anthropic,claude-opus-4-7,q003,False,False,False,False,False,False,False,False,False,False,False
anthropic,claude-opus-4-7,q004,False,False,False,False,False,False,False,False,False,False,False
anthropic,claude-opus-4-7,q005,False,False,False,False,False,False,False,False,False,False,False
xai,grok-4.20-reasoning,q001,False,False,False,False,False,False,False,False,False,False,False
xai,grok-4.20-reasoning,q002,False,False,False,False,False,False,False,False,False,False,False
xai,grok-4.20-reasoning,q003,False,False,False,False,False,False,False,False,False,False,False
xai,grok-4.20-reasoning,q004,False,False,False,False,False,False,False,False,False,False,False
xai,grok-4.20-reasoning,q005,False,False,False,False,False,False,False,False,False,False,False
